,name,department,university,avg_rating,num_reviews,take_again_pct,difficulty,rmp_profile_url,rmp_professor_id,error
542,Tommaso Alba,Economics,University of Toronto,1.0,1,0,5.0,https://www.ratemyprofessors.com/professor/2903294,2903294,
543,Landon Edgar,Pharmacology,University of Toronto,5.0,4,100,4.0,https://www.ratemyprofessors.com/professor/2764870,2764870,
544,Jason Matthews,Pharmacology,University of Toronto,2.0,1,0,3.0,https://www.ratemyprofessors.com/professor/2899541,2899541,
545,Massimiliano  Meneghin,Computer Science,University of Toronto,4.0,1,100,4.0,https://www.ratemyprofessors.com/professor/2899408,2899408,
546,Patrick James,Environment,University of Toronto,3.3,7,58,1.6,https://www.ratemyprofessors.com/professor/2735406,2735406,
547,Juliana Vantellingen,Biology,University of Toronto,5.0,1,100,3.0,https://www.ratemyprofessors.com/professor/2885227,2885227,
548,Marieme  Lo,Women's Studies,University of Toronto,4.0,2,100,3.0,https://www.ratemyprofessors.com/professor/2880107,2880107,
549,Joel Watts,Biochemistry,University of Toronto,5.0,1,100,3.0,https://www.ratemyprofessors.com/professor/2895297,2895297,
550,Katie Davis,History,University of Toronto,2.0,6,0,3.3,https://www.ratemyprofessors.com/professor/2824379,2824379,
551,Scott Richmond,Arts Culture amp Media,University of Toronto,3.0,3,67,5.0,https://www.ratemyprofessors.com/professor/2469039,2469039,
552,Giuseppe Castellano,Classics,University of Toronto,5.0,2,100,3.0,https://www.ratemyprofessors.com/professor/2808537,2808537,
553,John Summers,Information Science,University of Toronto,5.0,2,100,3.0,https://www.ratemyprofessors.com/professor/2681014,2681014,
554,Wenyu Phan,Mathematics,University of Toronto,4.0,1,100,2.0,https://www.ratemyprofessors.com/professor/2887872,2887872,
555,Karen Maxwell,Biochemistry,University of Toronto,1.0,1,0,5.0,https://www.ratemyprofessors.com/professor/2872840,2872840,
556,Cristiana Amza,Engineering,University of Toronto,2.3,7,34,3.7,https://www.ratemyprofessors.com/professor/2108698,2108698,
557,Sadie Hochman-Ruiz,Music,University of Toronto,1.5,2,0,4.5,https://www.ratemyprofessors.com/professor/2737286,2737286,
558,Regina Hartwick,Social Science,University of Toronto,1.0,1,0,2.0,https://www.ratemyprofessors.com/professor/2883973,2883973,
559,Karina Vold,Philosophy,University of Toronto,5.0,1,100,4.0,https://www.ratemyprofessors.com/professor/2802042,2802042,
560,Greg Evans,Engineering,University of Toronto,4.3,4,100,2.5,https://www.ratemyprofessors.com/professor/1038887,1038887,
561,Opher Baron,Management,University of Toronto,1.0,1,0,5.0,https://www.ratemyprofessors.com/professor/2814417,2814417,
562,Abderrahmane Abbou,Engineering,University of Toronto,1.0,2,0,4.5,https://www.ratemyprofessors.com/professor/2875038,2875038,
563,Marie-Thérèse Ballin,Languages,University of Toronto,4.0,1,100,4.0,https://www.ratemyprofessors.com/professor/2878251,2878251,
564,Kareem Roberts,Communication,University of Toronto,5.0,1,100,3.0,https://www.ratemyprofessors.com/professor/2705125,2705125,
565,William Huggins,Business,University of Toronto,4.3,18,100,3.1,https://www.ratemyprofessors.com/professor/1155827,1155827,
566,Adrian Yee,Philosophy,University of Toronto,3.0,2,50,4.5,https://www.ratemyprofessors.com/professor/2440953,2440953,
567,Fae  Amiro,Classics,University of Toronto,5.0,1,100,2.0,https://www.ratemyprofessors.com/professor/2874725,2874725,
568,,,,,,,,,,invalid literal for int() with base 10: 'N/A'
569,Carolyn Cummins,Pharmacology,University of Toronto,5.0,1,100,4.0,https://www.ratemyprofessors.com/professor/2867844,2867844,
570,Hong-Shuo Sun,Pharmacology,University of Toronto,5.0,1,100,1.0,https://www.ratemyprofessors.com/professor/2867852,2867852,
571,Esmat Elhalaby,Anthropology,University of Toronto,5.0,1,100,2.0,https://www.ratemyprofessors.com/professor/2866336,2866336,
572,Frances  Wong,Biology,University of Toronto,2.0,1,0,4.0,https://www.ratemyprofessors.com/professor/2865609,2865609,
573,Mathew Mercuri,Philosophy,University of Toronto,2.8,4,50,3.0,https://www.ratemyprofessors.com/professor/2653242,2653242,
574,Carol Chin,History,University of Toronto,4.5,8,80,3.1,https://www.ratemyprofessors.com/professor/854049,854049,
575,Peter Sekyere,Political Science,University of Toronto,3.0,1,0,3.0,https://www.ratemyprofessors.com/professor/2800731,2800731,
576,Ibi Kaslik,English,University of Toronto,1.0,1,0,5.0,https://www.ratemyprofessors.com/professor/2337588,2337588,
577,Robert McMillan,Economics,University of Toronto,1.0,1,0,5.0,https://www.ratemyprofessors.com/professor/2823236,2823236,
578,Shelley Falconer,Information Science,University of Toronto,2.6,9,45,3.9,https://www.ratemyprofessors.com/professor/2779506,2779506,
579,Kevin Vuong,Medicine,University of Toronto,3.8,4,75,2.8,https://www.ratemyprofessors.com/professor/2497483,2497483,
580,Michael Seaton,Marketing,University of Toronto,4.8,4,100,3.5,https://www.ratemyprofessors.com/professor/2500158,2500158,
581,Peter Sawchuk,Education,University of Toronto,4.9,5,100,3.0,https://www.ratemyprofessors.com/professor/1914610,1914610,
582,Cheryl Cott,Health Science,University of Toronto,1.0,2,0,4.5,https://www.ratemyprofessors.com/professor/1658841,1658841,
583,Anu Muhonen,Languages,University of Toronto,5.0,4,100,2.8,https://www.ratemyprofessors.com/professor/2619146,2619146,
584,Joshua Lackman,Mathematics,University of Toronto,2.4,8,25,3.6,https://www.ratemyprofessors.com/professor/2663447,2663447,
585,Bachour Mary-Kay,Geography,University of Toronto,4.3,4,75,2.3,https://www.ratemyprofessors.com/professor/2348070,2348070,
586,Sara Galli,Languages,University of Toronto,5.0,21,100,2.5,https://www.ratemyprofessors.com/professor/2410074,2410074,
587,Kate Duan,Mathematics,University of Toronto,1.0,1,0,5.0,https://www.ratemyprofessors.com/professor/2725832,2725832,
588,Laura Sikstrom,Anthropology,University of Toronto,2.9,5,50,3.6,https://www.ratemyprofessors.com/professor/2104680,2104680,
589,Belinda Piercy,Philosophy,University of Toronto,5.0,1,100,2.0,https://www.ratemyprofessors.com/professor/2686053,2686053,
590,Stanley Subrata,Economics,University of Toronto,3.0,4,50,4.5,https://www.ratemyprofessors.com/professor/2704972,2704972,
591,Cassie Brownell,Education,University of Toronto,1.0,1,0,1.0,https://www.ratemyprofessors.com/professor/2567428,2567428,
592,Keegan Selig,Anthropology,University of Toronto,3.0,5,60,2.4,https://www.ratemyprofessors.com/professor/2559957,2559957,
593,Noor Al-Attar,Science,University of Toronto,5.0,1,100,4.0,https://www.ratemyprofessors.com/professor/2761930,2761930,
594,James Wells,Science,University of Toronto,1.0,1,0,5.0,https://www.ratemyprofessors.com/professor/2752956,2752956,
595,Lisa Dolovich,Pharmacology,University of Toronto,2.0,1,0,3.0,https://www.ratemyprofessors.com/professor/2752954,2752954,
596,Sidhartha Goyal,Physics,University of Toronto,5.0,1,100,4.0,https://www.ratemyprofessors.com/professor/2334127,2334127,
597,James Allen,Philosophy,University of Toronto,1.0,1,0,2.0,https://www.ratemyprofessors.com/professor/2689202,2689202,
598,Lennart Doppenschmitt,Engineering,University of Toronto,2.0,1,0,3.0,https://www.ratemyprofessors.com/professor/2735434,2735434,
599,Vince Pranjivan,Accounting,University of Toronto,3.2,8,100,3.3,https://www.ratemyprofessors.com/professor/1868014,1868014,
600,Kat Furtado,Languages,University of Toronto,5.0,1,100,3.0,https://www.ratemyprofessors.com/professor/2720752,2720752,
601,Gillian Einstein,Women's Studies,University of Toronto,5.0,1,100,4.0,https://www.ratemyprofessors.com/professor/2313260,2313260,
602,Charu Bhaneja,History,University of Toronto,2.2,14,67,4.4,https://www.ratemyprofessors.com/professor/1993942,1993942,
603,Etye Steinberg,Philosophy,University of Toronto,4.3,3,67,4.0,https://www.ratemyprofessors.com/professor/2514074,2514074,
604,Bernard Feder,Business,University of Toronto,4.0,3,67,3.0,https://www.ratemyprofessors.com/professor/2650079,2650079,
605,John Van,English,University of Toronto,1.0,3,0,5.0,https://www.ratemyprofessors.com/professor/2696726,2696726,
606,Vando John,English,University of Toronto,1.0,1,0,5.0,https://www.ratemyprofessors.com/professor/2694384,2694384,
607,Selina Wu,Geology,University of Toronto,4.1,15,80,2.6,https://www.ratemyprofessors.com/professor/2429943,2429943,
608,aedan li,Psychology,University of Toronto,4.3,3,100,3.7,https://www.ratemyprofessors.com/professor/2619554,2619554,
609,Larissa Richards,Mathematics,University of Toronto,2.4,14,36,3.4,https://www.ratemyprofessors.com/professor/2283636,2283636,
610,Damian Melamedoff,Philosophy,University of Toronto,3.0,1,0,3.0,https://www.ratemyprofessors.com/professor/2282080,2282080,
611,Daniel Simpson,Mathematics,University of Toronto,1.4,5,0,4.0,https://www.ratemyprofessors.com/professor/2439921,2439921,
612,Catherine Lamaison,Languages,University of Toronto,5.0,3,100,3.0,https://www.ratemyprofessors.com/professor/2200931,2200931,
613,Sabrina Zhang,Communication,University of Toronto,1.0,1,0,5.0,https://www.ratemyprofessors.com/professor/2678217,2678217,
614,Kunal Dasgupta,Economics,University of Toronto,3.4,8,80,2.4,https://www.ratemyprofessors.com/professor/1732407,1732407,
615,Brent Miles,Literature,University of Toronto,5.0,2,100,3.0,https://www.ratemyprofessors.com/professor/1939069,1939069,
616,Brett Cochrane,Psychology,University of Toronto,5.0,2,100,3.5,https://www.ratemyprofessors.com/professor/2618067,2618067,
617,Adil Mansure,Architecture,University of Toronto,1.0,3,0,3.3,https://www.ratemyprofessors.com/professor/2268727,2268727,
618,Kenneth Duggan,History,University of Toronto,3.5,2,50,2.5,https://www.ratemyprofessors.com/professor/2545000,2545000,
619,Marie-Emilie Masson,Languages,University of Toronto,3.7,3,50,3.0,https://www.ratemyprofessors.com/professor/2111466,2111466,
620,David Goldstein,Psychology,University of Toronto,4.8,3,100,2.0,https://www.ratemyprofessors.com/professor/1031444,1031444,
621,Dan Ryan,Information Science,University of Toronto,4.5,2,100,2.5,https://www.ratemyprofessors.com/professor/2519009,2519009,
622,Isabelle Massicotte,Languages,University of Toronto,5.0,1,100,2.0,https://www.ratemyprofessors.com/professor/2573833,2573833,
623,Ehsan Noei,Computer Science,University of Toronto,5.0,1,100,4.0,https://www.ratemyprofessors.com/professor/2625528,2625528,
624,Dan Dolderman,Psychology,University of Toronto,4.3,4,100,3.5,https://www.ratemyprofessors.com/professor/1005282,1005282,
625,Sasha Gorjeltchan,Art History,University of Toronto,2.7,3,34,4.0,https://www.ratemyprofessors.com/professor/2321338,2321338,
626,Mark Fortney,Philosophy,University of Toronto,3.7,3,67,3.7,https://www.ratemyprofessors.com/professor/2274432,2274432,
627,Lawrence Williams,Sociology,University of Toronto,4.0,18,73,3.5,https://www.ratemyprofessors.com/professor/2380765,2380765,
628,Syed Ahmed,Computer Science,University of Toronto,5.0,2,100,4.0,https://www.ratemyprofessors.com/professor/2525004,2525004,
629,Tony Harris,Management,University of Toronto,5.0,1,100,3.0,https://www.ratemyprofessors.com/professor/2611983,2611983,
630,Anna Frolova,Languages,University of Toronto,4.0,1,100,4.0,https://www.ratemyprofessors.com/professor/2590550,2590550,
631,Karol Czuba,Political Science,University of Toronto,2.7,3,34,2.7,https://www.ratemyprofessors.com/professor/2245452,2245452,
632,Wendy Luo,Languages,University of Toronto,4.3,16,94,3.7,https://www.ratemyprofessors.com/professor/2582073,2582073,
633,Amir Ashouri,Computer Science,University of Toronto,4.8,4,100,4.3,https://www.ratemyprofessors.com/professor/2453093,2453093,
634,Benjamin Wald,Philosophy,University of Toronto,3.2,14,58,3.5,https://www.ratemyprofessors.com/professor/2274436,2274436,
635,Barry Sampson,Architecture,University of Toronto,1.0,1,0,3.0,https://www.ratemyprofessors.com/professor/2580532,2580532,
636,CC Gadza,Economics,University of Toronto,5.0,1,100,4.0,https://www.ratemyprofessors.com/professor/2577229,2577229,
637,Zhengyu Li,Mathematics,University of Toronto,4.5,4,75,3.3,https://www.ratemyprofessors.com/professor/2538145,2538145,
